Question,Answer
Your Price Is too High,"I appreciate you mentioning that, (CLIENT NAME). We based our pricing on comparisons with the top 10 carriers and customized it to meet your specific goals and needs. What's the budget you had in mind?"
My budget is $,"Great. If we adjust the policy to fit your budget, you'll get (COVERAGE AMOUNT/PLAN). With this plan, are you more focused on family protection or investments?"
I can afford $ per month,Perfect. Do you want to maximize  protection or cash-growth?
I'm looking for a Family Protection Focused Plan,"Redirect it to the Agent. Carrier Choice, Term policies, IUL with minimum to target premium"
I'm looking for an Investment Focused Plan,"Ok great. We have multiple options for investment-oriented policies: whole life and indexed universal life. Both protect your investments, allow tax-deductible contributions, and your money grows tax free. The whole life policy is very secure and pays dividends. The Indexed universal life policy is tied to the S&P 500, offering low-risk but high-potential returns. Let's compare them side by side and  narrow down the right one for you. Go checkout https://api-uat.orbix.ai/storage/salesfiles/OrbixTelesalesScript.pdf"
I need to talk to my spouse,"I'm glad you brought that up. If you think their perspective would add value, we can certainly arrange a discussion. This policy is tailored to you and does everything you need it to do. Is this about your spouse's approval? Or is there something else that we didn't cover?"
I already have coverage through my work,"I hear you, and that's great! However, employer-provided life insurance often ends when you leave your job, leaving you unprotected, especially during retirement. These policies usually can't be customized and may not cover all your financial needs. A personal policy stays with you, is tailored to your specific needs, and offers secure coverage with potential tax benefits and non-taxable growth. When do you plan on retiring? Go checkout https://api-uat.orbix.ai/storage/salesfiles/OrbixTelesalesScript.pdf"
I don't have time right now,"I'm glad you brought that up. Time is valuable, as is yours and your family's future. What's more important to you, coverage or an investment-focused policy? (IF CLIENT OBJECTS TWICE, SCHEDULING A PROPER FOLLOW UP) Does morning, afternoon, or evenings work best for you? (Let client respond and give them 2 time slots to pick from)"
I'm not comfortable giving you my information over the phone,"I'm glad you brought that up. We have safeguards in place that comply with HIPAA and privacy laws. I am licensed both on a state and federal level. Protecting your information means protecting my license as well. Go ahead with your (PERSONAL INFORMATION REQUESTED) (IF CLIENT OBJECTS TWICE) Do you want me to send you a Zoom invite or can we just knock this out real quick?"
I don't want to give you my information over the phone. I would rather fill this out myself.,I'm glad you brought that up. That is super simple to do. I am sending you a secure link right now. Let me know when you receive it and I'll walk you through it. https://centraportal.com/
I'd rather do this in person,"I'm glad you brought that up. Honestly, COVID kind of shook up the world, and tech took over to make it more convenient for clients. What are you goals with this policy? (IF CLIENT OBJECTS AGAIN) Let's hop on a Zoom. I'm sending you a link right now."
What carrier are you with?,I'm glad you asked. I am directly contracted with the Nations top carriers. (NAME 3 EXAMPLES). What are your goals so I can narrow down the right carrier and product? 
I already have a policy,"I'm glad you brought that up. Let's do a complimentary review at no cost to you. Besides saving money monthly or obtaining more coverage, there may be some cash growth advantages that we could identify without impacting your pricing. Who are you insured with? Tell me about your policy."
